Département;Nombre de créations d'entreprises
Ain;8417
Aisne;4422
Allier;3355
Alpes-Maritimes;28273
Alpes-de-Haute-Provence;2629
Ardennes;2533
Ardèche;4342
Ariège;2074
Aube;3559
Aude;5394
Aveyron;3219
Bas-Rhin;15712
Bouches-du-Rhône;45496
Calvados;8602
Cantal;1266
Charente;3870
Charente-Maritime;9425
Cher;2944
Corrèze;2587
Corse-du-Sud;3226
Creuse;1015
Côte-d'Or;6758
Côtes-d'Armor;6416
Deux-Sèvres;3420
Dordogne;5293
Doubs;6140
Drôme;7427
Essonne;23093
Eure;6626
Eure-et-Loir;4905
Finistère;9302
Gard;11675
Gers;2434
Gironde;32877
Haut-Rhin;8749
Haute-Corse;2861
Haute-Garonne;25199
Haute-Loire;2537
Haute-Marne;1466
Haute-Savoie;13759
Haute-Saône;2185
Haute-Vienne;4081
Hautes-Alpes;2484
Hautes-Pyrénées;2986
Hauts-de-Seine;36273
Hérault;23697
Ille-et-Vilaine;14477
Indre;1923
Indre-et-Loire;8165
Isère;19361
Jura;2781
Landes;6353
Loir-et-Cher;3585
Loire;10155
Loire-Atlantique;20606
Loiret;8276
Lot;2117
Lot-et-Garonne;4179
Lozère;721
Maine-et-Loire;9515
Manche;4244
Marne;7453
Mayenne;3236
Meurthe-et-Moselle;7863
Meuse;1477
Morbihan;8904
Moselle;11233
Nièvre;1876
Nord;32688
Oise;9689
Orne;2474
Paris;88925
Pas-de-Calais;13307
Puy-de-Dôme;8527
Pyrénées-Atlantiques;10708
Pyrénées-Orientales;8034
Rhône;39012
Sarthe;5403
Savoie;7515
Saône-et-Loire;5965
Seine-Maritime;13546
Seine-Saint-Denis;38726
Seine-et-Marne;23682
Somme;5802
Tarn;5240
Tarn-et-Garonne;3564
Territoire de Belfort;1444
Val-d'Oise;23846
Val-de-Marne;28800
Var;21660
Vaucluse;9933
Vendée;7814
Vienne;5232
Vosges;3665
Yonne;3600
Yvelines;25527
